"SourceSystemName";"SourceSystemExternalID";"SourceSystemDescription";"SourceSchemaName";"SourceSchemaExternalID";"SourceID";"SourceExternalID";"SourceName";"SourceTypeID";"SourceDescription";"SourceLayerName";"SourceLayerType";"SourceLayerDescription";"jdbc_ConnectionName";"DQFramework_DBType";"Omni_DBType";"ParentLayerID";"ParentLayerExternalID";"SourceLayerID";"SourceLayerExternalID";"SourceLayerTypeID";"CountReaders";"C_TABLE_NAME";"C_COLUMN_NAME";"C_ORDINAL_POSITION";"C_DATA_TYPE"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"og_customer";"BASE TABLE";"No Description Available";"omni";"pg";"pg";;;;"omnigen38_og_customer";1;1;"og_customer";"dqm__rule_codes_failed";23;"character varying"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"og_customer";"BASE TABLE";"No Description Available";"omni";"pg";"pg";;;;"omnigen38_og_customer";1;1;"og_customer";"dqm__rule_codes_failed_la";24;"character varying"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"og_customer";"BASE TABLE";"No Description Available";"omni";"pg";"pg";;;;"omnigen38_og_customer";1;1;"og_customer";"dqm__rule_failure_count";25;"integer"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"og_customer";"BASE TABLE";"No Description Available";"omni";"pg";"pg";;;;"omnigen38_og_customer";1;1;"og_customer";"dqm__data_quality_percentage";26;"numeric"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"og_customer";"BASE TABLE";"No Description Available";"omni";"pg";"pg";;;;"omnigen38_og_customer";1;1;"og_customer";"dqm__score";27;"integer"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"og_customer";"BASE TABLE";"No Description Available";"omni";"pg";"pg";;;;"omnigen38_og_customer";1;1;"og_customer";"dqm__explanation";28;"character varying"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"og_customer";"BASE TABLE";"No Description Available";"omni";"pg";"pg";;;;"omnigen38_og_customer";1;1;"og_customer";"source_status_code";29;"character varying"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"og_customer";"BASE TABLE";"No Description Available";"omni";"pg";"pg";;;;"omnigen38_og_customer";1;1;"og_customer";"source_created_date";30;"timestamp without time zone"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"og_customer";"BASE TABLE";"No Description Available";"omni";"pg";"pg";;;;"omnigen38_og_customer";1;1;"og_customer";"source_created_by";31;"character varying"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"og_customer";"BASE TABLE";"No Description Available";"omni";"pg";"pg";;;;"omnigen38_og_customer";1;1;"og_customer";"source_modified_date";32;"timestamp without time zone"
