"stat-multiple";"stat-type";"ProfileInternalColumnName";"ProfileSourceAttributeName";"ProfileInputName";"ProfileSourceAttributeType";"rollup_SourceAttributeName";"rollup_column";"rollup_name";"rollup_value"
"false";"unique";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"min";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"max";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"median";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"min_positive_length";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"min_length";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"max_length";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"avg_length";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"median_length";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"non_unique";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"duplicate";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"count";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"count_nulls";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"count_not_nulls";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"true";"first_x";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"true";"last_x";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"true";"quantiles";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"distinct";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"unique";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"min";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"max";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"median";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"min_positive_length";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"min_length";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"max_length";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"avg_length";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"median_length";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"non_unique";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"duplicate";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"count";"S_5";"Description";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"count_nulls";"S_5";"Description";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"count_not_nulls";"S_5";"Description";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"true";"first_x";"S_5";"Description";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"true";"last_x";"S_5";"Description";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"true";"quantiles";"S_5";"Description";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"distinct";"S_5";"Description";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"unique";"S_5";"Description";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"min";"S_5";"Description";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"max";"S_5";"Description";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"median";"S_5";"Description";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"min_positive_length";"S_5";"Description";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"min_length";"S_5";"Description";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"max_length";"S_5";"Description";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"avg_length";"S_5";"Description";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"median_length";"S_5";"Description";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"non_unique";"S_5";"Description";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"duplicate";"S_5";"Description";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"count";"S_6";"Mobile";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"count_nulls";"S_6";"Mobile";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"count_not_nulls";"S_6";"Mobile";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"true";"first_x";"S_6";"Mobile";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"true";"last_x";"S_6";"Mobile";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"true";"quantiles";"S_6";"Mobile";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"distinct";"S_6";"Mobile";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"unique";"S_6";"Mobile";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"min";"S_6";"Mobile";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"max";"S_6";"Mobile";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"median";"S_6";"Mobile";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"min_positive_length";"S_6";"Mobile";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"min_length";"S_6";"Mobile";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"max_length";"S_6";"Mobile";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"avg_length";"S_6";"Mobile";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"median_length";"S_6";"Mobile";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"non_unique";"S_6";"Mobile";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"duplicate";"S_6";"Mobile";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"count";"S_7";"Email";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"count_nulls";"S_7";"Email";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"count_not_nulls";"S_7";"Email";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"true";"first_x";"S_7";"Email";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"true";"last_x";"S_7";"Email";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"true";"quantiles";"S_7";"Email";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"distinct";"S_7";"Email";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"unique";"S_7";"Email";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"min";"S_7";"Email";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"max";"S_7";"Email";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"median";"S_7";"Email";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"min_positive_length";"S_7";"Email";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"min_length";"S_7";"Email";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"max_length";"S_7";"Email";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"avg_length";"S_7";"Email";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"median_length";"S_7";"Email";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"non_unique";"S_7";"Email";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"duplicate";"S_7";"Email";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"count";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"count_nulls";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"count_not_nulls";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"true";"first_x";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"true";"last_x";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"true";"quantiles";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"distinct";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"unique";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"min";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"max";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"median";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"min_positive_length";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"min_length";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"max_length";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"avg_length";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"median_length";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"non_unique";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"duplicate";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"count";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"count_nulls";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"count_not_nulls";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"true";"first_x";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
