"SourceSystemName";"SourceSystemExternalID";"SourceSystemDescription";"SourceSchemaName";"SourceSchemaExternalID";"SourceID";"SourceExternalID";"SourceName";"SourceTypeID";"SourceDescription";"SourceLayerName";"SourceLayerType";"SourceLayerDescription";"jdbc_ConnectionName";"DQFramework_DBType";"Omni_DBType";"ParentLayerID";"ParentLayerExternalID";"SourceLayerID";"SourceLayerExternalID";"SourceLayerTypeID";"CountReaders";"SourceAttributeID";"SourceAttributeExternalID";"OmniDB_SourceAttributeName";"OmniDB_SourceAttributeDataType";"SourceAttributeDescription";"hasReferentialContraint";"SourceAttributeName";"SourceAttributeDataType"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"og_customer";"BASE TABLE";"No Description Available";"omni";"pg";"pg";;;;"omnigen38_og_customer";1;1;;"og_customer_dqm__rule_codes_applied_la_for_filter_21";"dqm__rule_codes_applied_la_for_filter";"character varying";"No Description available";;;
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"og_customer";"BASE TABLE";"No Description Available";"omni";"pg";"pg";;;;"omnigen38_og_customer";1;1;;"og_customer_dqm__rule_codes_applied_la_filtered_22";"dqm__rule_codes_applied_la_filtered";"character varying";"No Description available";;;
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"og_customer";"BASE TABLE";"No Description Available";"omni";"pg";"pg";;;;"omnigen38_og_customer";1;1;;"og_customer_dqm__rule_codes_failed_23";"dqm__rule_codes_failed";"character varying";"No Description available";;;
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"og_customer";"BASE TABLE";"No Description Available";"omni";"pg";"pg";;;;"omnigen38_og_customer";1;1;;"og_customer_dqm__rule_codes_failed_la_24";"dqm__rule_codes_failed_la";"character varying";"No Description available";;;
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"og_customer";"BASE TABLE";"No Description Available";"omni";"pg";"pg";;;;"omnigen38_og_customer";1;1;;"og_customer_dqm__rule_failure_count_25";"dqm__rule_failure_count";"integer";"No Description available";;;
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"og_customer";"BASE TABLE";"No Description Available";"omni";"pg";"pg";;;;"omnigen38_og_customer";1;1;;"og_customer_dqm__data_quality_percentage_26";"dqm__data_quality_percentage";"numeric";"No Description available";;;
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"og_customer";"BASE TABLE";"No Description Available";"omni";"pg";"pg";;;;"omnigen38_og_customer";1;1;;"og_customer_dqm__score_27";"dqm__score";"integer";"No Description available";;;
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"og_customer";"BASE TABLE";"No Description Available";"omni";"pg";"pg";;;;"omnigen38_og_customer";1;1;;"og_customer_dqm__explanation_28";"dqm__explanation";"character varying";"No Description available";;;
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"og_customer";"BASE TABLE";"No Description Available";"omni";"pg";"pg";;;;"omnigen38_og_customer";1;1;;"og_customer_source_status_code_29";"source_status_code";"character varying";"No Description available";;;
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"og_customer";"BASE TABLE";"No Description Available";"omni";"pg";"pg";;;;"omnigen38_og_customer";1;1;;"og_customer_source_created_date_30";"source_created_date";"timestamp without time zone";"No Description available";;;
